line
So many things that I forgot to say
Will tell you its true
In front of everyone you know
Then the truth came shining like a light on me and now I can see my way out
Get me with those green eyes baby as the lights go down
The rain didnt soak through my clothes down to my skin
Dont know whats down this road Im just walking
Sittin on the fence posts
I wanna stay right here in this passengers seat
Hey
There youll stand ten feet tall
Silent night holy night
Trying to get my heels back under my head
The best people in life are free
Well now hes back in the atmosphere
Shes got her magic
Lets talk about what you did to get here
But you carry my groceries and now Im always laughin
But Im keeping warm somehow
Did you not write it down
When the phone rang in the middle of the night
Good
Oh let me think Im strong
Oh oh trouble trouble trouble
A tear came to her eye
Never fadeLook at you
I havent read it a thousand times
Blew down the doors to let me in
Its like no matter what I do
Knock on wood and rope the moon
Just like all those times before
It seems that I was uninvited by your lovely bridetobe
Feel the fear in my enemys eyes
All around your feet
Hold on make it last
When we first dropped our bags on
Not like this
I got a lump in my throat because youre gonna sing the words wrongI remember your bare feet down the hallway
Its miserable and magical
Dont you think I was too young
22 oohooh oh oh oh
But I took your matches
Winds of change blew you away from me
Cause coming back around here
I dont wanna need you this way
And you said my point exactly
And I lived in your chess game
Every smile you fake is so condescending
You say sorry just for show
All those other girls
There was something wrong it was all my fault
How you said youd be here
And this year
You walk around here thinking youre not pretty
Theres a glow off the pavement
But youre just so cool
You see me in hindsight
And I dont think we can solve them
And tomorrows just a mystery oh yeah
Halleluia
Too in love to think straight
There wasnt much love to lose
I wish youd could only see
She was an American girl
I dont wanna lose your face
Bye bye to everything I thought was on my side
Counting every bird
You say sorry just for show
And this is when the feeling sinks in
Flew me to places Id never been
Let it take me where it wants to go
What I wanted
And everybodys here
Down came the rain
And risk another goodbye
But I didnt know it at fifteen
To write on his heart
He cant keep his wild eyes on the road
And when I got home  fore I said amen
Everything has changed
Wed never fight
But if this was a movie youd be here by now
Holding on
And TPizzle TPizzle
Dont look at me
And how you held me in your arms that September night
Through a night alone
But loves got me cornered in the back of the room
With lots of places to run to
We found wonderland
If I wasnt scared of the world alone
Laughing at the other girls who think theyre so cool
And you understand now why they lost their minds and fought the wars
They take their shots but were bulletproof
Kiss me on the sidewalk
And didnt they pray too
I bet it never ever occurred to you that I cant say Hello to you
In wonderland
Oh your sweet disposition and my wideeyed gaze
This time Im flying free
Cause baby now we got bad blood hey
Of who can act like they care less
With every single move
Id rather do
It feels just like a day
All I know since yesterday is everything has changedI said Oh my what a marvelous tune
Dont you look now
I can still see you this aint the best view
I should have known I should have known
Heartbreakers gonna break break break break break mmmm
Well be out of here as soon as we can
This is the last time Im asking you this
Mmm I cant help myself
Wildest dreams ahha ohh
Merry Christmas I wrapped it up and sent it
Im just gonna shake shake shake shake shake
The girl in the dress
He tells lies are you really thinking
Lighthearted joke
Oh yeahYou take a deep breath and you walk through the doors
But none of us want to get there too soon
And as we walked
Angels fly in the air tonight
You say that the past is the past you need one chance
Whos really bad at lying
This is the worthwhile fight
Am I right
And Im dying to know is it killing you like its killing me yeah
Thinking about him
How the kingdom lights shined just for me and you
Ill be right here on the ground
Got em up to there
This is really happening
My head starts to spin and it hits me then
The way you look the way you laugh
You break my heart in the blink of an eye eye eye
Say that well be together
And i dont wanna lose your face
Cause our song is the slamming screen door
It takes everything in me not to call you
Will my love come in a pouring rain
I know Im laughing on the car ride home with you
One night he wakes
And i dont wanna wake one day
And theres so much that I cant touch
Tell me did the wind sweep you off your feet
And Ill never never be the same
A long drive
I hear your laugh
Oh what you get is what you see
If thats what you need
Wildest dreams ahha ohh
Until Brad Pitt comes along
What you want from the stars
And tell me
Thats the closest youll see me
Oh take it easy now
and right before your eyes
Saw you there and I thought
You got that James Dean daydream look in your eye
And Im making you hear me laugh like I just dont care
We drive around town in a rusty old truck
And I just wanna tell you
Thats how you lost the girl
Its alright just wait and see
We were gonna buy someday
Cause you can hear it in the silence
You were never good enough for him
That nothing safe is worth the drive and I would
Theres your trouble
Cause baby now we got bad blood
Because I think I need one
Oh what you get is what you see
You would you would if this was a movie
Looking out into the great unknown
Thought I knew for a minute but I dont anymore
I didnt bring her up
This love is alive back from the dead
And I stare at the phone
Well Ill wait up for you dear santa baby
You and Ill be safe and sound
This daydream is dangerous
Youre better off youre better off
I can feel my heart
Even if its just in your wildest dreams ahha
Of all the years that we stood there
I had the time of my life fighting dragons with you
That Im only up when youre not down
When youre standing on a mountain
Got a long list of exlovers
To hold you
And we were happy
Spoke a million words
Rain came pouring down when I was drowning
Saying Its gonna be alright
If you could see
Jump then fall into me
Shell expose you when she snows you
My love
To get knocked off our feet
But if you look at me right now
Radiant beams from thy holy face
And Ive been hoping every day
Cause none of us thought it was gonna end that way
Singer turned gangster
Talking over a football game
I hope it takes you back to that place
A girl on a cover but you tore her apart
Oh dont fade away baby
You hand me a rose and a note that says
Got a long list of exlovers
I shake it off I shake it off
Got me feeling like a nothing
Feels like Im fallin and I am lost in your eyes
Was she worth this
We thought were stars
Jesus Lord at thy birth
Ill meet you when youre out of the church at the back door
Cause thats where you belong
Ill never judge you
On the mattress whoa
And I guess I wished on a plane
Everything will be alright
Ill just wait for the day
Well count to ten take it in
So you can feel whole inside
I used to let you choose
Im sorry oh
On the
Whydo you have to make me feel small
And any snide remarks from my father about your tattoos will be ignored
But youre still gone gone gone
Before he taught me how to lie
Im standing there on a balcony in summer air
When Im in this dream
Through paychecks in tip jars yeah
Tonight Im hosting SNL
And thats what they dont see mmmmmm
Im caught up in you Im caught up in you
I hold onto the night
Itll leave you breathless
Little that I knew
Cant remember what song it was playing when we walked in
but you take one look at me
Pretending to be a duchess and a prince
Since I fell in love with this here guitar
Soaking wet
A beautiful magic love there
What would happen if Christmas carols told a lie
Youre an inconvenient kind of satisfaction
And it would be a fine proposition
When you started cryin baby I did too
Down came the rain
And I could tell you now
Cant breathe whenever youre gone
Things are meant to happen like this
Ill follow you follow you home
Tell me what would you find
It turns out freedom aint nothing but missing you
My missionaries in a foreign field
I was enchanted to meet you
When you said you needed space What
Cause Im still trying to figure it out
Ooh just wanna stay right here
Im a cell phone hippie
I looked at you like the stars that shined
Washed up and ranting about the same old bitter things
Everybody knows that
Had me in the palm of your hand
Oooh oooh oooh oooh oh ohLets watch
Its a love story baby just say Yes
Oh
They say Ive always known
Didnt matter where Id been
But on a Wednesday in a cafe I watched it begin again
Maybe shell bring you into the skies
You can love like a sinner and lose like a winner
Living on a prayer
You were my best four years
Id rather take a blow
Your name forever the name on my lips
Cant you read between the lines
Oh yeah
But the very next day you gave it away
All you had to do was stay
and if you ever need love Im standing at your door
Just because youre clean dont mean you dont miss it
I shake it off I shake it off
All you have to do is let me know
But the very next day you gave it away
And I still think about back when
Will my love come in a bowl of fire
Your beauty shines and lights up the sky
Looking out the window
Let me tell you now youre the lucky one oh oh oh
And every time you shine I shine
Singing long live all the mountains we moved
Dont be afraid to
Its my turn to be me
But the very next day you gave it away
I cant decide if its a choice
Thats what I learned from you oh you oh
Uh uh
Look at what weve found
No apologies Hell never see you cry
And youve still got it in your drawer even now
With your best friend he always liked me anyway
Im the one who makes you laugh
Take me back when our world was one block wide
Same old tired lonely place
Really weird
But I think that its best if we both stay
And the oceans had your eyes
Shell still sing the same old songs
Youre just another picture to burn
Welcome distraction
And our daddies used to joke about the two of us
In dark blue Tennessee
You could do better thats what she says
To stand outside my window throwing pebbles
You picking on the weaker man
Come on come on
Stand in the rain outside til I came out
Up until the nights got cold
You lift my feet off the ground
In words that nobody knows
You can crash and burn and come back someone new
